seccion_code,seccion_desc,division_code,division_desc,group_code,group_desc,ciiu_code,ciiu_desc,infered_macrosector
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",011,Cultivos agrícolas transitorios ,0111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",011,Cultivos agrícolas transitorios ,0112,Cultivo de arroz ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",011,Cultivos agrícolas transitorios ,0113,"Cultivo de hortalizas, raíces y tubérculos ",AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",011,Cultivos agrícolas transitorios ,0114,Cultivo de tabaco ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",011,Cultivos agrícolas transitorios ,0115,Cultivo de plantas textiles ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",011,Cultivos agrícolas transitorios ,0119,Otros cultivos transitorios n.c.p.,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0121,Cultivo de frutas tropicales y subtropicales,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0122,Cultivo de plátano y banano,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0123,Cultivo de café,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0124,Cultivo de caña de azúcar,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0125,Cultivo de flor de corte,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0127,Cultivo de plantas con las que se preparan bebidas,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0128,Cultivo de especias y de plantas aromáticas y medicinales ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",012,Cultivos agrícolas permanentes ,0129,Otros cultivos permanentes n.c.p.,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",013,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",0130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",014,Ganadería ,0141,Cría de ganado bovino y bufalino,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",014,Ganadería ,0142,Cría de caballos y otros equinos ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",014,Ganadería ,0143,Cría de ovejas y cabras ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",014,Ganadería ,0144,Cría de ganado porcino,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",014,Ganadería ,0145,Cría de aves de corral,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",014,Ganadería ,0149,Cría de otros animales n.c.p.,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",015,Explotación mixta (agrícola y pecuaria) ,0150,Explotación mixta (agrícola y pecuaria) ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",016,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ",0161,Actividades de apoyo a la agricultura ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",016,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ",0162,Actividades de apoyo a la ganadería,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",016,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ",0163,Actividades posteriores a la cosecha ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",016,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ",0164,Tratamiento de semillas para propagación ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",01,"Agricultura, ganadería, caza y actividades de servicios conexas ",017,Caza ordinaria y mediante trampas y actividades de servicios conexas ,0170,Caza ordinaria y mediante trampas y actividades de servicios conexas ,AGROPECUARIO
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",02,Silvicultura y extracción de madera,021,Silvicultura y otras actividades forestales,0210,Silvicultura y otras actividades forestales,AGROPECUARIO
