year,dept_code,macrosector,value
2005,97,CONSTRUCCIÓN,2.28
2005,99,CONSTRUCCIÓN,10.23
2013,15,SERVICIOS,344.68
2013,17,SERVICIOS,361.68
2013,18,SERVICIOS,59.84
2005,91,AGROPECUARIO,114.17
2013,85,SERVICIOS,72.86
2013,19,SERVICIOS,154.97
2005,05,AGROPECUARIO,4856.14
2013,20,SERVICIOS,217.13
2013,27,SERVICIOS,36.72
2005,81,AGROPECUARIO,469.03
2005,08,AGROPECUARIO,280.73
2005,11,AGROPECUARIO,11.01
2005,13,AGROPECUARIO,883.15
2005,15,AGROPECUARIO,1815.31
2005,17,AGROPECUARIO,957.79
2005,18,AGROPECUARIO,397.46
2005,85,AGROPECUARIO,484.76
2005,19,AGROPECUARIO,1412.28
2005,20,AGROPECUARIO,1231.86
2005,27,AGROPECUARIO,551.34
2005,23,AGROPECUARIO,1281.65
2005,25,AGROPECUARIO,5589.25
2005,94,AGROPECUARIO,18.21
2005,95,AGROPECUARIO,155.02
2005,41,AGROPECUARIO,1611.27
2005,44,AGROPECUARIO,425.99
2005,47,AGROPECUARIO,1445.19
2005,50,AGROPECUARIO,1058.31
2005,52,AGROPECUARIO,1481.29
2005,54,AGROPECUARIO,1150.89
2005,86,AGROPECUARIO,193.27
2005,63,AGROPECUARIO,718.47
2005,66,AGROPECUARIO,677.06
2013,23,SERVICIOS,386.01
2005,88,AGROPECUARIO,12.27
2005,68,AGROPECUARIO,3021.58
2005,70,AGROPECUARIO,456.69
2005,73,AGROPECUARIO,2299.26
2005,76,AGROPECUARIO,3439.32
2005,97,AGROPECUARIO,7.0
2005,99,AGROPECUARIO,156.16
2005,91,MINERO,1.0
2005,05,MINERO,2628.17
2005,81,MINERO,3239.8
2005,08,MINERO,35.79
2005,11,MINERO,235.69
2005,13,MINERO,562.7
2005,15,MINERO,445.2
2005,17,MINERO,206.04
2005,18,MINERO,1.65
2005,85,MINERO,5825.26
2005,19,MINERO,103.13
2005,20,MINERO,2859.02
2005,27,MINERO,489.34
2005,23,MINERO,248.74
2005,25,MINERO,370.01
2005,94,MINERO,27.82
2005,95,MINERO,2.91
2005,41,MINERO,1543.64
2005,44,MINERO,2912.68
2005,47,MINERO,14.51
2005,50,MINERO,2494.11
2005,52,MINERO,68.39
2005,54,MINERO,259.88
2005,86,MINERO,331.07
2005,63,MINERO,11.31
2005,66,MINERO,47.47
2005,88,MINERO,0.98
2005,68,MINERO,681.85
2005,70,MINERO,10.61
2005,73,MINERO,1193.39
2005,76,MINERO,137.48
2005,97,MINERO,0.94
2005,99,MINERO,1.0
2005,91,MANUFACTURA,8.82
2005,05,MANUFACTURA,15897.91
2005,81,MANUFACTURA,117.48
2005,08,MANUFACTURA,4588.05
2005,11,MANUFACTURA,18034.87
2005,13,MANUFACTURA,4141.56
2005,15,MANUFACTURA,2045.73
2005,17,MANUFACTURA,1599.57
2005,18,MANUFACTURA,89.31
2005,85,MANUFACTURA,247.2
2005,19,MANUFACTURA,1593.18
2005,20,MANUFACTURA,396.21
2005,27,MANUFACTURA,22.84
2005,23,MANUFACTURA,1356.76
2005,25,MANUFACTURA,6868.09
2005,94,MANUFACTURA,7.24
2005,95,MANUFACTURA,8.97
2005,41,MANUFACTURA,402.71
2005,44,MANUFACTURA,36.08
2005,47,MANUFACTURA,346.85
2005,50,MANUFACTURA,591.41
2005,52,MANUFACTURA,296.9
2005,54,MANUFACTURA,624.67
2005,86,MANUFACTURA,36.25
2005,63,MANUFACTURA,268.39
2005,66,MANUFACTURA,1286.41
2005,88,MANUFACTURA,11.78
